jobid,instance,mutator,L,repl,seed
34,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,4,247515
35,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,5,653160
36,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,6,831878
37,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,7,339564
38,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,8,237719
39,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,9,485499
40,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,10,599160
41,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,1,140892
42,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,2,905036
43,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,3,249524
44,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,4,247515
45,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,5,653160
46,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,6,831878
47,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,7,339564
48,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,8,237719
49,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,9,485499
50,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-G,100,10,599160
51,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,1,140892
52,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,2,905036
53,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,3,249524
54,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,4,247515
55,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,5,653160
56,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,6,831878
57,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,7,339564
58,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,8,237719
59,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,9,485499
60,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-F,100,10,599160
61,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,1,140892
62,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,2,905036
63,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,3,249524
64,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,4,247515
65,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,5,653160
66,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,6,831878
67,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,7,339564
68,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,8,237719
69,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,9,485499
70,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,USGS-PRE,100,10,599160
71,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,1,140892
72,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,2,905036
73,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,3,249524
74,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,4,247515
75,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,5,653160
76,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,6,831878
77,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,7,339564
78,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,8,237719
79,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,9,485499
80,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,SGS,100,10,599160
81,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,1,140892
82,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,2,905036
83,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,3,249524
84,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,4,247515
85,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,5,653160
86,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,6,831878
87,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,7,339564
88,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,8,237719
89,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,9,485499
90,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-L,100,10,599160
91,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,1,140892
92,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,2,905036
93,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,3,249524
94,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,4,247515
95,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,5,653160
96,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,6,831878
97,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,7,339564
98,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,8,237719
99,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,9,485499
100,instances/50/CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph,IF-G,100,10,599160
101,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,1,140892
102,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,2,905036
103,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,3,249524
104,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,4,247515
105,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,5,653160
106,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,6,831878
107,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,7,339564
108,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,8,237719
109,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,9,485499
110,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-F,100,10,599160
111,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,1,140892
112,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,2,905036
113,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,3,249524
114,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,4,247515
115,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,5,653160
116,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,6,831878
117,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,7,339564
118,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,8,237719
119,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,9,485499
120,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,USGS-PRE,100,10,599160
121,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,1,140892
122,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,2,905036
123,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,3,249524
124,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,4,247515
125,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,5,653160
126,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,6,831878
127,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,7,339564
128,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,8,237719
129,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,9,485499
130,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,SGS,100,10,599160
131,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,1,140892
132,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,2,905036
133,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,3,249524
134,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,4,247515
135,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,5,653160
136,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,6,831878
137,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,7,339564
138,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,8,237719
139,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,9,485499
140,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-L,100,10,599160
141,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,1,140892
142,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,2,905036
143,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,3,249524
144,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,4,247515
145,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,5,653160
146,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,6,831878
147,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,7,339564
148,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,8,237719
149,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,9,485499
150,instances/50/CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph,IF-G,100,10,599160
151,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,1,140892
152,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,2,905036
153,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,3,249524
154,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,4,247515
155,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,5,653160
156,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,6,831878
157,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,7,339564
158,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,8,237719
159,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,9,485499
160,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-F,100,10,599160
161,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,1,140892
162,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,2,905036
163,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,3,249524
164,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,4,247515
165,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,5,653160
166,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,6,831878
167,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,7,339564
168,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,8,237719
169,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,9,485499
170,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,USGS-PRE,100,10,599160
171,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,1,140892
172,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,2,905036
173,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,3,249524
174,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,4,247515
175,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,5,653160
176,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,6,831878
177,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,7,339564
178,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,8,237719
179,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,9,485499
180,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,SGS,100,10,599160
181,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,1,140892
182,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,2,905036
183,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,3,249524
184,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,4,247515
185,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,5,653160
186,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,6,831878
187,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,7,339564
188,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,8,237719
189,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,9,485499
190,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-L,100,10,599160
191,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,1,140892
192,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,2,905036
193,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,3,249524
194,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,4,247515
195,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,5,653160
196,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,6,831878
197,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,7,339564
198,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,8,237719
199,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,9,485499
200,instances/50/CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph,IF-G,100,10,599160
201,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,1,140892
202,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,2,905036
203,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,3,249524
204,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,4,247515
205,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,5,653160
206,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,6,831878
207,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,7,339564
208,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,8,237719
209,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,9,485499
210,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-F,100,10,599160
211,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,1,140892
212,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,2,905036
213,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,3,249524
214,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,4,247515
215,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,5,653160
216,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,6,831878
217,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,7,339564
218,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,8,237719
219,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,9,485499
220,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,USGS-PRE,100,10,599160
221,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,1,140892
222,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,2,905036
223,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,3,249524
224,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,4,247515
225,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,5,653160
226,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,6,831878
227,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,7,339564
228,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,8,237719
229,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,9,485499
230,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,SGS,100,10,599160
231,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,1,140892
232,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,2,905036
233,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,3,249524
234,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,4,247515
235,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,5,653160
236,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,6,831878
237,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,7,339564
238,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,8,237719
239,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,9,485499
240,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-L,100,10,599160
241,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,1,140892
242,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,2,905036
243,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,3,249524
244,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,4,247515
245,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,5,653160
246,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,6,831878
247,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,7,339564
248,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,8,237719
249,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,9,485499
250,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph,IF-G,100,10,599160
